,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SIMPLE COMPARISON,,,,,,,,,,PRIVACY,,,,,,,,,,,,,,,TECHNICAL,,,,,,,,,,,,,,,,,,,,,,,WEBSITE,,,,,PRICING,,,,ETHICS,,,,,,,
,      (RAW DATA TO THE RIGHT) --->,,,,,,,,,,JURISDICTION,,,LOGGING,,,,,ACTIVISM,,,,,,,SERVICE CONFIGURATION,,,,,,,,,,,,,,SECURITY,,,,,AVAILABILITY,,,,COOKIES,,CONFIGURATION,,,,,,,BUSINESS PRACTICES,,,,,,AFFILIATES,
Sheet last updated 8/13/2018,PRIVACY,,,TECHNICAL,,,BUSINESS,,,,,,,ACTIVITY,,CONNECTION,,,,,,,,,,LEAK PROTECTION,,,OBFUSCATION / CENSORSHIP AVOIDANCE,,,,,,,NETWORK NEUTRALITY,,AVERAGE SPEEDS,,SERVER,DATA ENCRYPTION,,HANDSHAKE ENCRYPTION,,,,,,,,,,,,,,,GOOD FAITH,,,AFFILIATE / RESELLER POLICY,,,,
VPN SERVICE,Jurisdiction,Logging,Activism,Service Config,Security,Availability,Website,Pricing,Ethics,,Based in (Country),"""Fourteen Eyes"" Country",Enemy of the Internet,Traffic,DNS Requests,Timestamps,Bandwidth,IP Address,Anonymous Payment Method,Accepts Cash,Accepts Gift Cards,Accepts Crypto Currency,PGP Key Available,Gives back to Privacy Causes,Meets PrivacyToolsIO Criteria,1st Party DNS Servers,IPv6 Supported / Blocked,Offers OpenVPN,Supports Multihop,Supports TCP Port 443,Supports Obfsproxy,Supports SOCKS,Supports SSL Tunnel,Supports SSH Tunnel,Other Proprietary Protocols,Blocks SMTP (Authent.),Blocks P2P,US Server DL Speeds (%),International Server DL Speeds (%),Dedicated or Virtual,Default Provided,Strongest Provided,Weakest Provided,Strongest Provided,# of Simultaneous Connections,# of Countries,# of Servers,Linux Support (Manual),# of Persistent Cookies,# of External Trackers,# of Proprietary API's,Server SSL Rating,SSL Certificate issued to,$ / Month - (Annual Pricing),$ / Connection / Month,Free Trial Available,Refund Window (Days),Contradictory Logging Policies,Falsely Claims Service is 100% Effective,Incentivizes social media spam,Forbids spam,Requires ethical copy,Requires full disclosure,Practice ethical copy,Give full disclosure
AceVPN,5,3,5,3.5,2.5,4,5,5,5,,USA,Five,Yes,,,Yes,,Yes,No,No,No,No,No,No,No,No,No,Yes,,Yes,Yes,,,,,Yes,Some,,,,,,,,2,22,,,4,1,10,A,Self,$4.59,$2.30,No,7,Yes,Yes,,No,No,No,,
ActiVPN,1,2,0,2,2.5,0,0,1,3,,France,Nine,No,,,,,,Email,No,No,Yes,Yes,No,No,No,No,Yes,,,,,Yes,,,,,,,,,,See Note,See Note,5,13,20,,0,0,0,A+,Self,$3.34,$0.67,No,See Note,,,,No,No,No,,
AirVPN,1,2,0,1,0,0,1,4,5,,Italy,Fourteen,No,No,,,,,Email,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,,Yes,Yes,Yes,,,No,90.56,5.99,,AES-256,AES-256,RSA-4096,RSA-4096,5,19,215,Yes,3,0,0,A+,Self,$4.93,$0.99,Yes,3,,,,No,No,No,No,No
Anonine,0,2,1,2,2.5,0,11,4,1,,Seychelles,No,No,No,,,,,Email,No,No,Yes,No,No,Yes,No,No,Yes,,,,,,,,,,,,,,,See Note,See Note,5,22,80,,6,2,29,C,Self,$3.99,$0.80,No,0,Yes,,,,,,,
AnonVPN,5,1,2,5,2.5,5,8,7,4,,USA,Five,Yes,No,,No,,No,Email,No,No,No,No,No,No,No,No,No,,,,,,,,No,No,,,,,,,,1,3,,,1,1,2,A-,Self,$5.75,$5.75,No,0,,,,No,No,No,,No
Anonymizer,5,1,2,1,2.5,3,13,3,1,,USA,Five,Yes,No,,,No,No,Email,No,No,No,No,No,No,Yes,No,Yes,,,,,,,,No,No,,,,,,,,6,,,,14,4,19,A-,Self,$6.67,$1.11,Yes,45,Yes,,,,,,,
AnonymousVPN,0,3,2,2,2.5,0,2,4,5,,Seychelles,No,No,No,,Yes,Yes,,Email,No,No,No,No,No,No,No,No,Yes,,,,Yes,,,,,No,,,,,,,,3,20,20,,0,0,2,B,Self,$5.75,$1.92,No,14,Yes,,,No,No,No,,No
Astrill,0,3,4,2.5,1.5,2,8,4,5,,Seychelles,No,No,,,Yes,,Yes,No,No,No,Yes,No,No,No,No,No,Yes,Yes,Yes,,,,,,,Some,,,,,AES-128,,,2,54,254,,4,1,2,A-,Self,$5.83,$2.92,Yes,7,,,,No,No,No,No,No
Avast Secureline,1,3.5,4,1,1.5,2,3,4,2.5,,Czech Republic,Cooperative,No,,,Yes,Yes,Yes,No,No,No,No,Yes,No,No,Yes,No,Yes,,,,,,,,,,,,,,AES-256,,,1,19,27,,0,0,16,A,Self,$6.67,$6.67,Yes,30,,,,Yes,Some,No,,No
Avira Phantom VPN,1,2,5,0,1.5,2,8,1,1.5,,Germany,Fourteen,No,No,,,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes,,,,,,,,,,,,,,AES-256,,,25,20,,,16,8,14,A,Self,$6.50,$0.26,Yes,30,,,,Yes,Yes,Some,,No
AzireVPN,1,0,0,0,0,1,1,2,4,,Sweden,Fourteen,No,No,No,No,No,No,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,,Yes,,Yes,,,,No,No,,,Dedicated,AES-256,AES-256,RSA-4096,RSA-4096,5,4,26,Yes,1,0,0,A+,Self,$4.11,$0.82,Yes,7,,,,No,No,No,,No
BeeVPN,1,2,1,5,1.5,5,10,8,0,,Denmark,Nine,No,,,,,,Email,No,No,Yes,No,No,No,No,No,No,,,,,,,,,No,,,,,AES-256,,,1,4,,,4,1,12,C,Self,$7.17,$7.17,No,0,,,,,,,,
Betternet,3,3,2,5,2.5,3,3,0,0,,Canada,Five,No,,,Yes,Yes,,Yes,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,25,,,No,1,1,2,A,Self,$0.00,$0.00,Free,Free,,,,,,,,
BlackVPN,0,0,0,2,0,0,6,5,0,,Hong Kong,No,No,No,No,No,No,No,Email,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,,Yes,,,Yes,,,Some,Some,56.91,16.03,Dedicated,AES-256,AES-256,RSA-4096,RSA-4096,7,19,27,Yes,4,1,8,A,CloudFlare,$9.03,$1.29,No,14,,,,,,,,
Blockless,3,2,2,4,2.5,5,8,7,3,,Canada,Five,No,,,,,,Email,No,No,No,No,No,No,Yes,No,No,,,,,,,,,,,,,,,,,1,,,,5,3,9,A,CloudFlare,$4.17,$4.17,No,0,,,,No,No,No,,
BolehVPN,0,0,0,0.5,0,0,5,4,0,,Seychelles,No,No,No,No,No,No,No,Email,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,Yes,,,Yes,,Some,0,7.78,,AES-128,AES-256,RSA-4096,RSA-4096,3,13,35,Yes,6,2,7,A,Self,$6.67,$2.22,Yes,14,,,,Yes,Yes,Yes,,
Boxpn,0,2,1,2,2.5,0,11,4,4,,Seychelles,No,No,,,,,,Email,No,No,Yes,No,No,No,No,No,Yes,,,,,,,,,No,,,,,Blowfish-128,See Note,See Note,3,22,80,,23,12,25,A,CloudFlare,$2.99,$1.00,No,0,,,,No,No,No,,No
BTGuard,3,1.5,1,1,1.5,4,5,8,3,,Canada,Five,No,No,,,,No,Email,No,No,Yes,No,No,No,Yes,No,Yes,,,,Yes,,,,,No,,,,,AES-256,,,1,3,5,,0,0,0,F,Self,$7.50,$7.50,No,0,,,,No,Yes,No,,No
Buffered,1,3.5,2,2,1.5,2,6,4,3.5,,Hungary,Cooperative,No,No,,Yes,Yes,Yes,Email,No,No,No,No,No,No,No,No,Yes,,,,,,,,,No,,,,,Blowfish-256,,,5,26,,,5,2,16,A,Self,$9.99,$2.00,No,30,,Yes,,Some,Yes,No,,No
CactusVPN,5,0,4,2.5,0,1,4,2,5,,Canada,Five,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,,,,,,,,No,Some,95.23,13.76,,AES-128,AES-256,RSA-2048,RSA-4096,3,4,16,Yes,2,1,6,A+,Self,$4.59,$1.53,Yes,30,,,,No,No,No,No,No
Celo,3,3,4,1,1.5,0,5,3,1,,Australia,Five,No,No,,Yes,,Yes,No,No,No,Yes,No,Yes,No,No,Yes,Yes,,,,Yes,,Yes,,,No,,,,,AES-256,,,5,13,14,,2,2,6,B,Self,$5.50,$1.10,Yes,10,Yes,,,,,,,
ChillGlobal,1,2.5,5,1,2.5,4,13,5,1,,Germany,Fourteen,No,No,,Yes,,,No,No,No,No,No,No,No,Yes,No,,,,,,,,,,,,,,,,,,1,15,,,1,1,12,T,No SSL Cert,$5.70,$5.70,Yes,7,,Yes,,,,,,
CitizenVPN,1,1.5,1,2,1.5,4,7,4,0,,Denmark,Nine,No,,,,,No,Email,No,No,Yes,No,No,No,No,No,Yes,,Yes,,,,,,,No,,,,AES-128,AES-256,,,1,12,,,3,0,4,C,Self,$8.24,$8.24,Yes,180,,,,,,,,
CloakVPN,5,0,1,2,2.5,5,8,7,0,,USA,Five,Yes,No,No,No,No,No,Yes,No,No,Yes,No,Yes,No,No,No,Yes,,,,,,,,,,,,,,,,,1,1,1,Yes,2,1,2,C,Self,$5.00,$5.00,No,0,,,,,,,,
CrypticVPN,5,0.5,1,2,2.5,2,3,5,1,,USA,Five,Yes,No,,No,No,No,Email,No,No,Yes,No,No,No,No,No,Yes,,Yes,,,,,,,,83.96,8.88,,,,,,1,15,18,Yes,0,0,2,A,CloudFlare,$2.09,$2.09,No,0,,Yes,,,,,,
CryptoHippie,5,2,0,1.5,0,3,1,5,0,,USA,Five,Yes,See Note,No,,Yes,,Yes,No,No,Yes,Yes,No,No,Yes,No,Yes,Yes,,,,,,,Some,,,,,,AES-256,RSA-2048,RSA-2048,1,,12,,0,0,1,A+,Self,$22.92,$22.92,No,30,,,,,,,,
CryptoStorm,1,1.5,0,0,1.5,2,4,4,0,,Iceland,Cooperative,No,No,,,,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,No,No,,,,,AES-256,,,4,10,,,2,3,2,A,Self,$3.92,$0.98,No,0,,,,,,,,
CyberGhost,0,1,1,2.5,1.5,0,10,2,5,,Romania,No,No,No,,No,,No,Email,No,No,Yes,No,No,Yes,Yes,No,Yes,,,,,,,,Yes,Some,,,,,AES-256,,,7,30,607,,5,0,4,C,CloudFlare,$5.84,$0.83,No,30,,Yes,,No,No,No,,No
DathoVPN,0,2,5,2,2.5,2,11,6,0,,Panama,No,No,No,,,,,No,No,No,No,No,No,No,No,No,Yes,,,,,,,,,No,,,,,,,,1,17,70,,1,1,4,C,No SSL Cert,$6.00,$6.00,Yes,3,,,,,,,,
DefenceVPN,2,2,5,2.5,2.5,5,3,1,3,,Barbados,See Note,Owned,No,,,,,No,No,No,No,No,No,No,No,No,Yes,,,,,,,,,Some,,,,,,,,2,7,,,1,1,0,B,Self,$2.50,$1.25,Yes,30,,,,No,No,No,,
Disconnect.me,5,1.5,1,5,0,3,2,3,0,,USA,Five,Yes,,,,,No,Yes,No,No,Yes,No,Yes,No,No,No,No,,,,,,,,,,,,,AES-256,AES-256,RSA-2048,RSA-2048,3,,,No,1,0,2,A,Self,$4.17,$1.39,No,30,,,,,,,,
DooVPN,3,2,5,5,2.5,5,4,6,0,,,Not Disclosed,Not Disclosed,,,,,,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,1,2,,,1,0,3,A,CloudFlare,$4.00,$4.00,No,1,,,,,,,,
DotVPN,0,2.5,2,4,2.5,1,3,0,2,,Hong Kong,No,No,,,,,Yes,Email,No,No,No,No,No,No,Yes,No,No,,,,,,,,,,,,,,,See Note,See Note,3,,700,,2,2,1,A+,Self,$3.00,$1.00,Yes,30,Yes,,Yes,,,,,
Doublehop,0,0,0,3,0,3,3,1,0,,Seychelles,No,No,No,No,No,No,No,Email,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,,,,,,,Yes,No,,,Dedicated,AES-256,AES-256,RSA-4096,RSA-4096,6,5,,Yes,1,0,,A+,CloudFlare,$2.75,$0.45,No,365,,,,,,,,
EarthVPN,0,2.5,1,2.5,2,0,6,4,4,,Northern Cyprus,No,No,No,,,,Yes,Yes,No,No,Yes,No,No,Yes,No,No,Yes,,,,Yes,,Yes,,No,Some,,,,,AES-256,MS-CHAPv2,,3,32,304,,3,1,7,A,Incapsula,$3.34,$1.11,No,7,,,,No,No,No,,No
Encrypt.me,5,3.5,5,2,2.5,3,2,2,1,,USA,Five,Yes,See Note,,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,,,,,,,,,,,,,,,,,25,,,,2,0,2,A+,Self,$8.34,$0.33,Yes,30,,,Yes,,,,,
EtherealVPN,3,2,1,5,2.5,4,13,5,3,,,Not Disclosed,Not Disclosed,,,,,,Email,No,No,Yes,No,No,No,No,No,No,,,,,,,,,,,,,,,,,1,7,8,,1,1,11,T,No SSL Cert,$1.67,$1.67,No,0,,,,No,No,No,,
ExpressVPN,2,2,1,0,0.5,0,8,4,4.5,,British Virgin Islands,See Note,Owned,No,No,Yes,Yes,No,Email,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,,,,,Yes,,,,No,,,,,AES-256,,CA-4096,3,94,1500,Yes,13,5,17,A+,Self,$8.32,$2.77,No,30,,,,Some,No,No,No,No
Faceless.ME,0,3,5,2,2.5,5,12,6,0,,Cyprus,No,No,,,Yes,,Yes,No,No,No,No,No,No,No,No,No,Yes,,,,,,,Yes,,No,,,,,,,,1,3,,,9,4,14,C,Self,$5.00,$5.00,Yes,0,,,,,,,,
FinchVPN,0,3.5,1,2.5,3,2,7,5,1,,Malaysia,No,No,No,,Yes,Yes,Yes,Email,No,No,Yes,No,No,Yes,No,No,Yes,,,,,,,,,Some,22.89,5.69,,Blowfish-128,,,,1,20,54,Yes,4,1,15,A+,CloudFlare,$3.22,$3.22,Yes,0,Yes,,,,,,,
FlowVPN,5,3,2,2,2.5,0,5,3,0,,UK,Five,Yes,,,Yes,,Yes,Email,No,No,No,No,No,No,No,No,Yes,,,,,,Yes,,,,,,,,See Note,,,4,41,90,,2,2,4,A,CloudFlare,$3.99,$1.00,Yes,0,,,,,,,,
FlyVPN,5,3,5,2,2.5,2,7,4,0,,USA,Five,Yes,,,Yes,,Yes,No,No,No,No,No,No,No,No,No,Yes,,,,,Yes,,,,No,,,,,See Note,,,1,30,150,,6,4,2,A,CloudFlare,$6.67,$6.67,Yes,30,,,,,,,,
FoxyProxy,5,2,1,1,2.5,2,3,5,0,,USA,Five,Yes,No,No,,Yes,,Email,No,No,No,Yes,Yes,No,Yes,No,Yes,,,,Yes,,,,No,No,,,,,,,,25,55,,Yes,1,1,1,A,Self,$7.49,$0.30,No,7,,,,,,,,
Freedom-IP,3,3.5,1,2,2.5,2,3,4,1,,,Not Disclosed,Not Disclosed,,,Yes,Yes,Yes,Email,No,No,Yes,No,No,No,No,No,Yes,,,,,Yes,,,,,,,,,See Note,,,5,40,,,2,0,5,A,Self,$4.58,$0.92,Yes,0,,Yes,,,,,,
Freedome,0,3,2,2,0,2,4,4,5,,Finland,No,No,,,,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,Yes,,,,,,,,Some,Some,,,,,AES-256,RSA-2048,RSA-2048,3,19,,,1,0,10,A+,Self,$4.16,$1.39,Yes,0,,Yes,Yes,No,No,No,,
FrootVPN,1,0,1,2,2.5,2,1,1,4,,Sweden,Fourteen,No,No,No,No,No,No,Email,No,No,Yes,No,No,Yes,No,Yes,Yes,,,,,,,,Yes,No,,,,,,See Note,See Note,3,19,,,3,0,0,A+,Self,$3.00,$1.00,No,30,,Yes,,No,No,No,,
FrostVPN,5,3,4,2.5,2.5,0,8,6,0,,USA,Five,Yes,No,,Yes,Yes,,No,No,No,Yes,No,No,No,No,No,Yes,,,,,,,,,Some,,,,,,,,3,16,54,,3,2,10,A,No SSL Cert,$4.99,$1.66,No,3,,,,,,,,
GetFlix,3,2,5,1,2.5,2,12,4,2.5,,Canada,Five,No,,,,,,No,No,No,No,No,Yes,No,See Note,No,,,,,,,,,,,,,,,,,,1,20,26,,30,14,32,A,No SSL Cert,$2.77,$2.77,Yes,0,,,,Yes,Some,No,,No
GhostPath,5,2,1,2,2.5,2,1,7,4,,USA,Five,Yes,,,,,,Email,No,No,Yes,No,No,No,No,No,Yes,,,,,,,,,,,,,,,,,1,44,138,,0,0,0,B,Self,$6.25,$6.25,No,0,,,,No,No,No,,No
GooseVPN,1,1,5,2.5,2.5,2,5,4,6,,Netherlands,Nine,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,,,,,,,,,Some,,,,,,,,1,31,55,,0,6,25,A,Self,$5.60,$5.60,No,30,Yes,Yes,,No,No,No,,No
GoTrusted,5,3,5,5.5,2.5,5,8,6,3,,USA,Five,Yes,,,Yes,Yes,,No,No,No,No,No,No,No,No,No,No,,,,,,,,Some,,,,,,,,,1,,,,2,1,8,B,No SSL Cert,$5.99,$5.99,Yes,0,,,,No,No,No,,
GoVPN,1,2.5,2,5,2.5,1,2,0,2,,Germany,Fourteen,No,No,,,,Yes,Email,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,3,8,27,,2,0,0,B,Self,$2.50,$0.83,Yes,30,Yes,,Yes,,,,,
Hide.me,0,2,1,1.5,1.5,0,5,4,4,,Malaysia,No,No,No,,,,,Email,No,No,Yes,No,No,Yes,No,Yes,Yes,,,,,,,,,Some,,,,,AES-256,,,5,24,88,,3,2,26,A+,Self,$11.67,$2.33,Yes,14,,Yes,,No,No,No,,
HideALLIP,3,2,1,5,4,2,11,2,5,,,Not Disclosed,Not Disclosed,,,,,,Email,No,No,Yes,No,No,No,No,No,No,,,,,,,,,No,,,,,,RSA-RC4,RSA-1024,1,37,150,,1,1,4,,No SSL Cert,$2.42,$2.42,No,30,,Yes,,No,No,No,,No
HideIPVPN,5,1.5,4,2.5,2.5,1,9,3,4,,USA,Five,Yes,,,,,No,No,No,No,Yes,No,No,No,No,No,Yes,,,,,,,,,Some,,,,,,,,3,5,28,,2,1,8,F,Self,$7.00,$2.33,Yes,30,,,,No,No,No,,No
HideMyAss,5,3.5,1,2.5,3,2,6,3,3,,UK,Five,Yes,No,,Yes,Yes,Yes,Email,No,No,Yes,No,No,No,No,No,Yes,,,,,,,,Some,No,,,,,AES-256,RSA-RC4,RSA-1024,2,221,923,,12,4,,B,Self,$4.99,$2.50,No,30,,Yes,,Yes,Yes,No,,No
