,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hide My IP,5,2,1,2,2.5,2,6,2,4,,USA,Five,Yes,,,,,,Email,No,No,Yes,No,No,No,No,No,Yes,,,,,,,,,,,,,,,,,1,42,71,,2,2,13,B,Self,$2.95,$2.95,No,30,,,,No,No,No,,No
Hola!VPN,3,6,2,5,2.5,5,5,3,4,,,Not Disclosed,Not Disclosed,Yes,,Yes,,Yes,Email,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,1,,,,2,0,10,B,Self,$5.00,$5.00,Yes,30,,,Yes,No,No,No,,
Hotspot Shield,5,1.5,4,5,2.5,3,7,0,4,,USA,Five,Yes,,,,,No,No,No,No,Yes,No,No,No,No,No,No,,,,,,,,,,,,,,,,,5,,,,1,0,4,F,Self,$2.50,$0.50,Yes,30,Yes,,,No,No,No,,
HotVPN,3,2,1,2,2.5,5,15,6,5,,,Not Disclosed,Not Disclosed,,,,,,Email,No,No,Yes,No,No,No,No,No,Yes,,,,,,,,,,,,,,,See Note,See Note,1,,,,7,6,10,F,No SSL Cert,$8.50,$8.50,Yes,7,,Yes,,No,No,No,,No
IBVPN,0,2,4,1.5,1.5,2,8,3,5.5,,Romania,No,No,No,,,,,No,No,No,Yes,No,No,No,Yes,See Note,Yes,,,,,Yes,,,Some,Some,57.89,8.55,,Blowfish-256,Blowfish-256,,,1,43,95,Yes,15,9,27,A+,Self,$4.08,$4.08,Yes,15,Yes,,Yes,No,Some,No,,No
Identity Cloaker,1,2.5,5,2,1.5,2,12,5,5,,Czech Republic,Cooperative,No,No,,,Yes,,No,No,No,No,No,No,No,No,No,Yes,,,,,,,,,,,,,AES-256,AES-256,,,1,12,31,,2,3,4,C,No SSL Cert,$7.17,$7.17,Yes,14,,Yes,,No,No,No,,No
IncognitoVPN,5,2.5,5,2,2.5,0,2,8,6,,USA,Five,Yes,No,No,Yes,,Yes,No,No,No,No,No,No,No,No,No,Yes,,,,,,,,,,,,,,,,,3,24,35,,0,0,5,A,Self,$12.44,$4.15,No,0,Yes,Yes,,No,No,No,,No
In-Disguise,0,2,1,2.5,2.5,2,3,7,0,,Belize,No,No,,,,,,Email,No,No,Yes,No,No,No,No,No,Yes,Yes,,,,,,,,Some,,,,,,,,1,22,25,,1,0,0,A,CloudFlare,$6.86,$6.86,No,7,,,,,,,,
Insorg,3,2,1,2,2.5,2,13,8,3,,,Not Disclosed,Not Disclosed,No,,,,,Email,No,No,Yes,No,No,Yes,No,No,Yes,Yes,Yes,,,,,,,,,,,,,See Note,See Note,1,17,17,,7,5,4,T,No SSL Cert,$15.84,$15.84,No,3,,,,No,No,No,,
Integrity.st,1,1.5,4,2,1.5,5,0,6,0,,Sweden,Fourteen,No,No,,,,No,No,No,No,Yes,No,No,No,No,No,Yes,,,,,,,,,,,,,,Blowfish-256,,,,,,,0,0,0,A,Self,See Note,,No,0,,,,,,,,
IntelliVPN,3,2.5,5,5,2.5,5,5,4,0,,,Not Disclosed,Not Disclosed,,,,,Yes,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,1,,,No,0,0,0,C,Self,$1.59,$1.59,Yes,0,,,,,,,,
Internetz.me,1,1,0,2,1.5,1,8,7,3,,Germany,Fourteen,No,No,,No,No,,Email,No,No,Yes,Yes,No,Yes,No,No,Yes,,,,Yes,,,,,,,,,,AES-256,,,3,6,17,,7,2,5,A+,No SSL Cert,$7.16,$2.39,No,0,,,,No,No,No,,
IntroVPN,5,3,1,2,1.5,4,5,6,1,,USA,Five,Yes,No,No,Yes,Yes,Yes,Email,No,No,Yes,No,No,No,No,No,Yes,,,,,,,,,,,,,,AES-256,,,1,7,9,,2,1,4,A,Cloudflare,$4.00,$4.00,No,0,Yes,,,,,,,
IPinator,5,2.5,5,1,2.5,0,7,4,4,,USA,Five,Yes,No,,,Yes,,No,No,No,No,No,No,No,Yes,No,Yes,,,,,Yes,,Yes,,,,,,,,,,5,12,84,,,,18,B,No SSL Cert,$6.59,$1.32,No,30,,,,No,No,No,,No
IPredator,1,3.5,0,0.5,2.5,3,0,7,0,,Sweden,Fourteen,No,No,,Yes,Yes,Yes,Email,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,,,,,Some,No,,,,,,,,2,1,50,,0,0,0,A+,Self,$6.56,$3.28,Yes,0,,,,,,,,
IPVanish,5,2,2,0.5,1.5,0,7,5,6,,USA,Five,Yes,No,,,,,Email,No,No,No,No,Yes,No,Yes,Yes,Yes,,Yes,,,,,,Some,No,28.48,7.84,,AES-256,AES-256,,,5,60,500,Yes,9,7,20,A,Self,$6.49,$1.30,No,7,Yes,,,No,No,No,No,No
Ironsocket,0,3.5,1,1.5,0.5,0,5,4,3,,Hong Kong,No,No,No,,Yes,Yes,Yes,Email,No,Yes,Yes,No,No,Yes,Yes,No,Yes,,,,Yes,Yes,,,,Some,,,,,AES-256,See Note,RSA-2048,3,35,50,,3,2,18,A,Self,$4.16,$1.39,No,7,,,,Some,Some,No,,No
Ivacy,0,2,4,1,2.5,0,7,6,4,,Hong Kong,No,No,No,,,,,No,No,No,Yes,No,No,No,No,Yes,Yes,,,,,,,,,No,,,,,See Note,,,5,40,250,,4,1,11,A,CloudFlare,$11.95,$2.39,No,7,,,,No,No,No,,No
IVPN,2,0,0,0,0,0,1,5,0,,Gibraltar,See Note,Owned,No,No,No,No,No,Email,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,No,No,,,Dedicated,AES-256,AES-256,RSA-4096,RSA-4096,5,12,21,,2,0,0,A+,Self,$8.34,$1.67,Yes,7,,,,,,,,
KeepSolid VPN Unlimited,5,3.5,1,1.5,1.5,0,6,4,4.5,,USA,Five,Yes,,,Yes,Yes,Yes,Email,No,No,Yes,No,No,No,Yes,No,Yes,,Yes,,,,,Yes,,Some,,,,AES-128,AES-256,,,5,55,400,Yes,5,3,8,A+,Self,$4.99,$1.00,No,7,,Yes,,Some,No,No,,No
Kepard,0,2,2,3.5,2.5,5,7,5,4,,Moldova,No,No,,,,,,Email,No,No,No,No,No,No,No,No,Yes,,,,,,,,Yes,Some,,,,,See Note,,,1,,,,4,1,7,A,No SSL Cert,$2.90,$2.90,No,0,,,,No,No,No,,No
LeVPN,0,3,1,1.5,1.5,2,6,5,4,,Hong Kong,No,No,No,No,Yes,Yes,Yes,Email,No,No,Yes,No,No,Yes,Yes,No,Yes,,,,,,,,,Some,,,,,AES-256,,,2,114,350,,8,2,20,A,Self,$4.95,$2.48,No,7,,,,No,No,No,,No
LibertyShield,5,2.5,4,5,2.5,2,11,8,3,,UK,Five,Yes,,,,,Yes,No,No,No,Yes,No,No,No,No,No,No,,,,,,,,,,,,,,,,,1,10,10,,9,1,11,C,Self,$12.43,$12.43,No,1,,,,No,No,No,,
LibertyVPN,5,2,5,3,2.5,4,10,8,4.5,,USA,Five,Yes,,,,,,No,No,No,No,No,No,No,No,No,Yes,,,,,,,,,Yes,,,,,,,,1,83,,,3,2,10,F,Self,$8.99,$8.99,No,3,Yes,Yes,,No,Some,No,,
LimeVPN,0,3,4,3,1,0,17,5,4,,Hong Kong,No,No,No,,Yes,Yes,,No,No,No,Yes,No,No,No,No,No,Yes,,Yes,,Yes,Yes,Yes,,Some,Some,,,,,AES-256,MS-CHAPv2,RSA-2048,20,10,19,,23,11,29,C,No SSL Cert,$11.49,$0.57,No,7,Yes,,,No,No,No,,
LiquidVPN,5,0,3,0,0,0,4,5,4,,USA,Five,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,,Yes,,Yes,Yes,,Yes,No,No,,,Dedicated,AES-256,AES-256,RSA-4096,RSA-4096,8,11,45,Yes,2,0,13,A,Self,$8.83,$1.10,No,7,,,,No,No,No,,No
Mullvad,1,0,0,0,0,0,1,1,0,,Sweden,Fourteen,No,No,No,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,93.5,14.29,Dedicated,AES-256,AES-256,RSA-4096,RSA-4096,5,32,184,Yes,1,0,0,A+,Self,$5.44,$1.09,Yes,30,,,,,,,,
My Expat Network,5,2,5,2,3,3,4,7,0,,UK,Five,Yes,,,,,,No,No,No,No,No,No,No,No,No,Yes,,,,,,,,,,16.86,14.34,,Blowfish-128,,,,3,4,,Partial,3,2,9,A,Self,$7.00,$2.33,No,0,,,,,,,,
MyIP.io,5,2,5,1,2.5,4,5,6,2,,USA,Five,Yes,No,,,,,No,No,No,No,No,No,No,No,Yes,Yes,,,,,,,,,,,,,,,,,1,10,,,7,3,2,A,Self,$5.99,$5.99,Yes,0,,Yes,Yes,,,,,
My Private Network,0,1.5,0,1.5,1.5,2,5,3,1.5,,Hong Kong,No,No,No,No,Yes,No,,Email,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,,Yes,Yes,Yes,Yes,,,No,Some,,,,AES-256,AES-256,,,5,43,,Yes,3,1,16,A,Self,$9.47,$1.89,Yes,30,,,,Yes,Yes,Some,,No
MyVPN.Pro,5,2,2,5,1.5,5,11,8,0,,USA,Five,Yes,,,,,,Email,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,AES-256,,,1,,,,4,1,2,,No SSL Cert,$9.95,$9.95,No,0,,,,,,,,
Netshade,5,6,5,4,2.5,3,4,4,0,,USA,Five,Yes,Yes,,Yes,,Yes,No,No,No,No,No,No,No,No,Yes,No,,,,,,,,,,,,,,,,,1,7,13,No,1,1,2,B,Self,$4.92,$4.92,No,30,,,,,,,,
Newshosting,5,2,4,2,1.5,5,8,6,1,,USA,Five,Yes,No,,,,,No,No,No,Yes,No,No,No,No,No,Yes,,,,,,,,,,93.12,7.34,,AES-256,AES-256,,,2,,,Yes,0,0,21,F,Self,$8.25,$4.13,Yes,7,,,,Yes,Yes,No,,
NEXTGenVPN,0,2,1,1.5,2.5,4,11,8,1,,Seychelles,No,No,,,,,,Email,No,No,No,Yes,No,No,Yes,No,Yes,,Yes,,,,,,,Some,,,,,,,,1,11,,,11,2,9,C,Self,$14.57,$14.57,No,0,,Yes,,,,,,
NolimitVPN,0,2.5,2,4,2.5,3,6,4,4,,Singapore,No,No,No,,Yes,,,Email,No,No,No,No,No,No,Yes,No,No,,,,,,,,,No,,,,,See Note,,,3,,,,4,1,9,A,CloudFlare,$3.65,$1.22,Yes,0,,Yes,,No,No,No,,
NordVPN,0,0.5,0,0.5,0.5,0,4,1,5,,Panama,No,No,No,,No,No,No,Email,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,No,Some,5.36,1.5,,AES-256,AES-256,,RSA-2048,6,62,4192,Yes,5,1,3,A,Self,$5.75,$0.96,Yes,30,,Yes,,No,No,No,,No
Norton WiFi Privacy,5,2,5,5,2.5,5,7,1,0,,USA,Five,Yes,,,,,,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,1,,,,3,0,8,B,No SSL Cert,$2.50,$2.50,Yes,60,,,,,,,,
NVPN,0,2,1,2,1.5,2,2,6,1,,Bosnia,No,No,,,,,,Email,No,No,Yes,No,Yes,No,No,No,Yes,,Yes,,Yes,Yes,,Yes,,No,,,,,AES-256,,,1,34,51,,0,1,3,A+,Self,$3.34,$3.34,No,3,,Yes,,,,,,
OctaneVPN,5,1.5,1,2,2.5,0,4,3,3,,USA,Five,Yes,,,No,Yes,No,Email,No,No,Yes,No,No,No,Yes,No,Yes,,,,,,,,Yes,No,,,,,See Note,,,5,44,108,,4,1,7,A,Self,$2.50,$0.50,No,7,,,,No,No,No,,
OneVPN,0,3,1,1,1.5,0,9,4,6,,Hong Kong,No,No,No,,,Yes,Yes,Email,No,No,Yes,No,No,Yes,Yes,No,Yes,,Yes,,,,,Yes,,,,,,,AES-256,,,3,59,390,,1,2,9,C,Self,$4.00,$1.33,No,7,,Yes,,No,No,No,No,No
Opera (Browser) VPN,1,7,2,2,2.5,3,7,0,0,,Norway,Nine,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,,,,,,,,,,,,,,,,,25,,,No,0,1,12,A,No SSL Cert,$0.00,$0.00,Free,Free,,,,,,,,
OverPlay,5,2,2,1,2.5,2,8,8,3,,UK,Five,Yes,,,,,,Email,No,No,No,No,No,No,Yes,No,Yes,,,,,,,,,No,,,,,,,,1,48,67,No,,,15,C,Self,$8.33,$8.33,No,5,,,,Some,Some,No,,No
OVPN.com,1,0,0,0,0,1,3,6,3,,Sweden,Fourteen,No,No,No,No,No,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,No,No,,,Dedicated,,AES-256,DH-2048,DH-2048,4,7,56,,3,1,4,A+,Self,$7.00,$1.75,No,10,,,,No,No,No,,
oVPN.to,3,1,0,0.5,0,0,0,6,0,,,Not Disclosed,Not Disclosed,No,,No,No,,Email,No,No,Yes,Yes,No,Yes,Yes,See Note,Yes,Yes,Yes,,Yes,Yes,Yes,,,No,,,,,AES-256,RSA-4096,RSA-4096,25,12,36,,0,0,0,A+,Self,$7.30,$0.29,No,0,,,,,,,,
Perfect Privacy,1,1.5,0,0.5,0.5,0,4,5,3.5,,Switzerland,Cooperative,No,No,,,,No,Email,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,Yes,Yes,,Some,64.14,9.39,,AES-256,AES-256,,RSA-4096,25,23,41,Yes,1,1,7,A+,Self,$13.95,$0.56,No,7,,,,Some,No,No,,No
Private Internet Access,5,0.5,1,0.5,0,0,4,3,2.5,,USA,Five,Yes,No,No,No,,No,Email,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,,Yes,,Yes,,,,Some,No,,,,AES-128,AES-256,RSA-2048,RSA-4096,5,28,3012,,2,1,7,A,Self,$3.33,$0.67,No,7,,,,Some,Yes,Yes,No,No
PrivatePackets.io,2,2,2,0.5,2.5,1,2,5,0,,British Indian Ocean,See Note,Owned,See Note,See Note,See Note,See Note,See Note,Email,No,No,No,No,No,No,See Note,See Note,Yes,See Note,See Note,See Note,See Note,See Note,See Note,See Note,See Note,See Note,,,,,,,,25,7,See Note,,1,0,3,A,Self,$5.00,$0.20,No,0,,,,,,,,
PrivateTunnel,5,2,4,2,2.5,3,2,0,0,,USA,Five,Yes,,,,,,No,No,No,Yes,No,No,No,No,No,Yes,,,,,,,,,,,,,,Blowfish-128,,,3,,,,3,1,0,A,Self,$2.92,$0.97,Yes,90,,,,,,,,
PrivateVPN,1,2,1,2,0,0,9,6,4,,Sweden,Fourteen,No,,,,,,Email,No,No,Yes,No,No,No,No,No,Yes,,Yes,,,,,,,No,,,,,AES-256,DH-2048,DH-2048,4,20,34,,8,4,21,A,CloudFlare,$7.02,$1.76,Yes,0,,,,No,No,No,,No
ProtonVPN,1,2,0,0.5,1.5,0,1,3,1,,Switzerland,Cooperative,No,No,,,,,Email,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,Some,20.97,5.76,,AES-256,AES-256,,,5,14,112,Yes,0,0,1,A+,Self,$8.00,$1.60,Yes,60,Yes,,,,,,,
Proxy.sh,0,2,1,1,0,0,7,8,4,,Seychelles,No,No,No,,,,,Email,No,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,,Yes,Yes,,,,,No,,,,,AES-256,RSA-4096,RSA-4096,3,40,300,,0,0,5,C,Self,$10.00,$3.33,No,0,,,,No,No,No,,No
ProXPN,1,1,4,2,0,2,5,3,5,,Netherlands,Nine,No,No,,No,,No,No,No,No,Yes,No,No,No,No,No,Yes,,,,,,,,,,,,,Blowfish-512,Blowfish-512,RSA-2048,RSA-2048,1,16,21,Partial,2,0,16,B,Self,$6.25,$6.25,Yes,30,,Yes,,No,No,No,,No
PRQ,1,2,1,1,2.5,5,7,4,0,,Sweden,Fourteen,No,No,,,,,Email,No,No,Yes,No,No,Yes,Yes,No,Yes,,,,,,,,,,,,,,,,,1,,,,1,1,0,,Self,,,No,0,,,,,,,,
PureVPN,0,3,4,0.5,1.5,0,3,4,5,,Hong Kong,No,No,No,,Yes,Yes,,No,No,No,Yes,No,No,No,Yes,Yes,Yes,,,,,,,,No,Some,,,,,AES-256,,,5,141,500,,,,27,A,Self,$4.17,$0.83,No,7,,,,No,No,No,No,No
RA4W VPN,5,2,1,2,2.5,2,9,5,1,,USA,Five,Yes,No,,,,,Email,No,No,Yes,No,No,No,No,No,Yes,,Yes,,,,,,,,,,,,,,,1,20,31,,5,4,13,A,CloudFlare,$1.88,$1.88,No,0,,Yes,,,,,,
RogueVPN,3,2,1,2.5,1.5,2,4,4,4,,Canada,Five,No,,,,,,Email,No,No,Yes,No,No,No,No,No,Yes,,,,,,,,,Some,38.05,14.87,,AES-256,AES-256,,,2,15,19,Partial,1,2,5,A,Self,$2.95,$1.48,Yes,0,,,,No,No,No,,No
RootVPN,1,3,4,2,1.5,3,3,6,5,,Netherlands,Nine,No,,,,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,Yes,,Yes,,,,,,,,,,,,AES-128,,,25,,,Yes,0,1,8,A,Self,$10.61,$0.42,No,0,Yes,Yes,,No,No,No,,
SaferVPN,0,2.5,1,2,1.5,0,7,3,3,,Israel,No,No,No,,Yes,Yes,No,Email,No,No,Yes,No,Yes,Yes,No,No,Yes,,,,,,,,,,93.45,10.7,,AES-256,AES-256,,,3,24,150,Partial,11,2,14,A,Self,$5.99,$2.00,Yes,14,Yes,,,Yes,Yes,Yes,No,No
SecureVPN.com,3,2.5,5,2,2.5,2,9,5,6,,,Not Disclosed,Not Disclosed,,,,,Yes,No,No,No,No,No,No,No,No,No,Yes,,,,,,,,,,,,,,,,,5,6,6,,1,1,7,C,Self,$5.84,$1.17,Yes,0,,Yes,Yes,No,No,No,,No
SecureVPN.to,3,0,1,1,0,0,1,6,0,,,Not Disclosed,Not Disclosed,No,No,No,No,No,Yes,No,No,Yes,No,Yes,Yes,No,Yes,Yes,,,,Yes,Yes,,,,No,58.96,13.92,Mix,AES-256,AES-256,RSA-4096,RSA-4096,25,23,34,Yes,1,0,0,A+,Self,$6.84,$0.27,No,0,,,,,,,,
SecurityKISS,0,3.5,1,1,4,2,8,7,0,,Ireland,No,No,,,Yes,Yes,Yes,Email,No,No,Yes,No,No,No,Yes,No,Yes,,Yes,,,,,,,,,,,,Blowfish-128,RSA-1024,RSA-1024,1,16,68,,3,1,2,A-,Self,$8.25,$8.25,Yes,0,,,,,,,,
Seed4.Me,0,3,1,2.5,2.5,2,6,0,0,,Taiwan,No,No,No,,Yes,,Yes,Email,No,No,Yes,No,Yes,Yes,No,No,Yes,,,,,,,,,Some,,,Mix,,See Note,,,3,16,,,3,2,11,B,Self,,,Yes,90,,,,,,,,
Seedboxes.cc,0,2,4,2,2.5,5,5,7,1,,Cyprus,No,No,,,,,,No,No,No,Yes,No,No,No,No,No,Yes,,,,,,,,,No,,,,,,,,2,7,,,3,2,13,A,Self,$14.24,$7.12,No,7,,Yes,,,,,,
ShadeYou,1,2,1,2,2.5,3,8,2,5,,Netherlands,Nine,No,,,,,,Email,No,No,Yes,No,No,No,No,No,Yes,,Yes,,,,,,,No,,,,,,See Note,See Note,5,,,,3,0,7,,Self,$2.17,$0.43,Yes,7,,Yes,,No,No,No,,No
